% DOF: 3
% dt: 0.0200 s
% units: radians
% columns: time_s, joint_1, joint_2, joint_3
12.880348,0.814704,0.271568,-0.162941
12.900380,0.801784,0.267261,-0.160357
12.920413,0.788850,0.262950,-0.157770
12.940446,0.775906,0.258635,-0.155181
12.960478,0.762955,0.254318,-0.152591
12.980511,0.750000,0.250000,-0.150000
13.000544,0.737045,0.245682,-0.147409
13.020576,0.724094,0.241365,-0.144819
13.040609,0.711150,0.237050,-0.142230
13.060642,0.698216,0.232739,-0.139643
13.080674,0.685296,0.228432,-0.137059
13.100707,0.672394,0.224131,-0.134479
13.120740,0.659513,0.219838,-0.131903
13.140772,0.646651,0.215550,-0.129330
13.160805,0.633800,0.211267,-0.126760
13.180838,0.620954,0.206985,-0.124191
13.200870,0.608106,0.202702,-0.121621
13.220903,0.595248,0.198416,-0.119050
13.240936,0.582374,0.194125,-0.116475
13.260968,0.569476,0.189825,-0.113895
13.281001,0.556548,0.185516,-0.111310
13.301034,0.543582,0.181194,-0.108716
13.321066,0.530571,0.176857,-0.106114
13.341099,0.517509,0.172503,-0.103502
13.361132,0.504388,0.168129,-0.100878
13.381165,0.491203,0.163734,-0.098241
13.401197,0.477966,0.159322,-0.095593
